Name,Include,Info,"Launching
Year","Last
modification","Developer 
Publication",Developer,Country,"Title/
Abstract Screening","Full-text 
review",Platform,Import format,Export format,"Bulk 
application","Machine 
learning
classifiers",Deep learning,Teamwork?,"Blind 
Review","Duplicate 
removal?","Inter-rater 
reliability",Update?,Labels,Reason label?,Accessiblity,Privacy Policy,Advantage,Disadvantage,Examples in Education
DRAGON,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIFT-Active Screener,0,"SWIFT-Active Screener is a web-based, collaborative systematic review software application.",,,"Miller et al. (2016)
Miller K, Howard BE, Phillips J, Shah MR, Mav D, Shah RR (2016). “SWIFT-Active Screener: Reducing Literature Screening Effort Through Machine Learning for Systematic Reviews.” Poster presentation at the Society of Toxicology’s 55th Annual Meeting and ToxExpo, New Orleans, LA.",Sciome,,,,web-based,"accepts imports from many of the most popular bibliographic databases and reference curation platforms including EndNote, Mendeley, Zotaro, PubMed, and SWIFT-Review.","Results from screening activities in Active Screener can also be exported in standard data formats compatible with a wide range of applications including EndNote, Mendeley, Zotaro, PubMed, HAWC and Excel",,1,,1,,,,,,,,,,,
CADIMA,Review questions from any research discipline can be addressed,"CADIMA is a free web tool facilitating the conduct and assuring 
for the documentation of systematic reviews, systematic maps and further literature reviews.",2012,,,,,,,,,,,,,,,,,,,,,,,,
ReLiS,0,"ReLiS stands for Revue Litteraire Systématique which is French for Systematic Literature Reviews Relis literally translates to “reread”.
we have created ReLiS which provides essential software support to reviewers in conducting high quality systematic reviews. With ReLiS, you can planning, conducting, and reporting your review.",2018,,Bigendako & Syriani (2018),Universite de Montreal,Canada,,,,,,,,,,,,,,,,,,,,
StArt,0,StArt (State of the Art through Systematic Review),2010,,Zamboni et al. (2010),"The Laboratory of Research on Software Engineering
Federal University of São Carlos ",Brazil,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colandr,?,"Colandr is an open-source and open-access machine-learning assisted online platform for 
conducting systematic reviews and syntheses with a focus in biodiversity research. It was launched in July 2017 at the International Congress for Conservation Biology in Cartagena, Colombia.(Cheng et al., 2018)
",2018,,Cheng et al. (2018),"The Science for Nature and People Partnership
DataKind
Conservation International
The Center for Biodiversity and Conservation at the American Museum of Natural History",USA,1,1,Web-based,"BibTex, RIS, TXT",CSV,1,1,0,1,,1,,1,"include,
exclude",,Open access,"""DataKind may collect information about you at different stages and through various means. We try to collect as little data as necessary to provide our services. Some of it is optional, but allows us to continuously improve ourselves: we will only collect such data with your explicit consent.""",,,
RobotAnalyst,0,"RobotAnalyst was developed as part of the Supporting Evidence-based Public Health Interventions using Text Mining project to support the literature screening phase of systematic reviews. RobotAnalyst is designed for searching and screening reference collections obtained from literature database queries. It combines search engine functionality with machine learning and text mining technology, including topic modelling and relevancy feedback-based text classification models, to minimise the human workload involved in identifying relevant references.",,,,,,,,,,,,1,0,,,,,,,,,,,,
SyRF,0,"SyRF is a fully integrated online platform for performing systematic reviews of 
preclinical studies. It is a free to use resource for researchers.",,,,CAMARADES,,,,,,,,,,1,,,,,,,,,,,
revtools,0,An R package to support article screening for evidence synthesis,,,MJ Westgate (2019) revtools: An R package to support article screening for evidence synthesis. Research Synthesis Methods http://doi.org/10.1002/jrsm.1374,,,,,,,,1,,,,,1,,,,,,,,,
METAGEAR,0,metagear package for R,,,,,,,,,,,,,,,,,,,,,,,,,
PASRIFAL,0,Parsifal is an online tool designed to support researchers to perform systematic literature reviews within the context of Software Engineering. ,,,,,,,,,bibtex files,,,,,,,1,,,,,,,,,
SRDB.PRO,0,"SRDB.PRO is the first enterprise level systematic review and data analysis 
platform designed specifically for the Pharmaceutical industry and healthcare consultancies.",,,,,,,,,,,,,,,,,,,,,,,,,
FASTREAD,0,one of the 32 active learning approaches,,,,,,,,,,,,1,0,,,,,,,,,,,,
SRDR Plus,0,"SRDR Plus (The Systematic Review Data Repository: Plus)
 is a tool for extracting, managing, and archiving data. 
It is an open and searchable archive of systematic reviews and their data.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average launching year of the included screening tools,2013.666667,"Normally need a year or two to figure out the functions and learn to use, therefore, only review the most recent five years from 2015-01-01 onwards. The fetching python code returns me 178 studies.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMeta[Analyst],0,"OpenMeta[Analyst] is an open-source, cross-platform, 
point and click tool to perform meta-analysis.",,,,,,,,,,,,,,,,,,,,,,,,,
